rating_method,quadrant,cr_v,cr_a,cr_dist,cr_angle,cr_time
V1,HP,0.33353125000000006,0.1063125,0.6176403158326206,0.12141122498722144,5.02
V1,HP,0.33965625,0.10690625000000001,0.6258156616261468,0.11863909584148476,5.05
V1,HP,0.34646875,0.10715625,0.6346590775520428,0.11732698337068904,5.09
V1,HP,0.35284374999999996,0.10949999999999999,0.6409574122946006,0.1208688051472955,5.12
V1,HP,0.35896875,0.11246874999999998,0.64719995003341,0.12456790562751528,5.15
V1,HP,0.36559374999999994,0.11590624999999999,0.653604697203193,0.12867701292434955,5.19
V1,HP,0.37324999999999997,0.11796874999999998,0.6615613026272819,0.13058716317916175,5.22
V1,HP,0.38084375000000004,0.11649999999999999,0.6694761078320329,0.13099282138317953,5.25
V1,HP,0.38834375,0.11493749999999998,0.6774249104765684,0.13152329629261644,5.29
V1,HP,0.39265625000000004,0.1134375,0.6823317740007795,0.13195159903880757,5.32
V1,HP,0.39521875,0.11040625000000001,0.6843897608960625,0.12988867023482142,5.35
V1,HP,0.397625,0.10596875,0.685985108869726,0.12613942057600655,5.39
V1,HP,0.39918750000000003,0.10103125000000002,0.6874578358700854,0.12189400687767216,5.42
V1,HP,0.4003125,0.09940624999999997,0.6872231951516345,0.1448697962911159,5.45
V1,HP,0.4065,0.10503124999999999,0.6931350644334785,0.17863939277057278,5.49
V1,HP,0.4166875,0.11649999999999999,0.7068172003691583,0.18420892409294637,5.52
V1,HP,0.42674999999999996,0.12821875,0.7212750861423569,0.18826851329644706,5.55
V1,HP,0.43253125,0.13921875,0.7307149500008135,0.2461105998022279,5.59
V1,HP,0.43784375,0.14975,0.7402867362870109,0.25481041279246863,5.62
V1,HP,0.4385,0.15481250000000002,0.7435852828594967,0.26221460842726674,5.65
V1,HP,0.43740624999999994,0.15825,0.7450206764366795,0.2674265130321456,5.69
V1,HP,0.4324375,0.15628125,0.7410733384115538,0.26909068168584166,5.72
V1,HP,0.42859375,0.15253125,0.7393298188668225,0.24268531333171922,5.75
V1,HP,0.4258125,0.147625,0.7390951954948464,0.2442606426723444,5.79
V1,HP,0.42496875,0.14303125,0.7404918937308391,0.22063853922735283,5.82
V1,HP,0.4265625,0.14031249999999998,0.7453172215088046,0.22056124575726782,5.85
V1,HP,0.43078125,0.13634375,0.7510883142218043,0.2186349242257714,5.89
V1,HP,0.4359375,0.131625,0.7568935429548569,0.21567501521716748,5.92
V1,HP,0.44193750000000004,0.12734375,0.7621996696519572,0.2104678700995765,5.95
V1,HP,0.448375,0.12409375000000002,0.7661567952169004,0.2040999445594329,5.99
V1,HP,0.45178125,0.12353124999999998,0.7675106852411592,0.20033864600925422,6.02
V1,HP,0.45565625,0.1238125,0.7690303711281784,0.1978554283034173,6.05
V1,HP,0.45725,0.12615625,0.7694393924226457,0.20189070336217993,6.09
V1,HP,0.4573125,0.129,0.7694761997763603,0.20734334102932078,6.12
V1,HP,0.45715625000000004,0.132,0.7696193552245791,0.21313792882677113,6.15
V1,HP,0.46131249999999996,0.1361875,0.7758515713843469,0.231312557597982,6.19
V1,HP,0.466125,0.13815625,0.7808779137872544,0.23269234190295088,6.22
V1,HP,0.47131249999999997,0.13903124999999997,0.7849960765664762,0.2337848301040506,6.25
V1,HP,0.47559375000000004,0.14059375,0.7882722965682025,0.23494501268278545,6.29
V1,HP,0.47359375,0.14125000000000001,0.7850837402956802,0.23545254363835058,6.32
V1,HP,0.4694999999999999,0.14790625,0.7786450821867427,0.23449787317389859,6.35
V1,HP,0.46321875,0.15709375,0.7690326319274575,0.23355763857575398,6.39
