Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	32.31	0.0	[219, 426, 169, 576]	True
arousal	Levene	21.72	0.0	[219, 426, 169, 576]	True
beta	Barlett	111.46	0.0	[219, 426, 169, 576]	True
beta	Levene	9.31	0.0	[219, 426, 169, 576]	True
frontal_alpha	Barlett	140.27	0.0	[219, 426, 169, 576]	True
frontal_alpha	Levene	9.96	0.0	[219, 426, 169, 576]	True
frontal_theta	Barlett	58.0	0.0	[219, 426, 169, 576]	True
frontal_theta	Levene	0.47	0.705	[219, 426, 169, 576]	False
gamma	Barlett	193.22	0.0	[219, 426, 169, 576]	True
gamma	Levene	6.49	0.0	[219, 426, 169, 576]	True
hf-hrv	Barlett	78.64	0.0	[219, 426, 169, 576]	True
hf-hrv	Levene	20.05	0.0	[219, 426, 169, 576]	True
ibi	Barlett	7.12	0.068	[219, 426, 169, 576]	False
ibi	Levene	2.86	0.036	[219, 426, 169, 576]	True
posterior_alpha	Barlett	136.98	0.0	[219, 426, 169, 576]	True
posterior_alpha	Levene	4.07	0.007	[219, 426, 169, 576]	True
valence	Barlett	22.0	0.0	[219, 426, 169, 576]	True
valence	Levene	15.6	0.0	[219, 426, 169, 576]	True
