Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	31.44	0.0	[219, 426, 169, 576]	True
arousal	Levene	14.68	0.0	[219, 426, 169, 576]	True
beta	Barlett	121.43	0.0	[219, 426, 169, 576]	True
beta	Levene	9.02	0.0	[219, 426, 169, 576]	True
frontal_alpha	Barlett	55.01	0.0	[219, 426, 169, 576]	True
frontal_alpha	Levene	3.99	0.008	[219, 426, 169, 576]	True
frontal_theta	Barlett	12.38	0.006	[219, 426, 169, 576]	True
frontal_theta	Levene	2.02	0.109	[219, 426, 169, 576]	False
gamma	Barlett	94.06	0.0	[219, 426, 169, 576]	True
gamma	Levene	8.37	0.0	[219, 426, 169, 576]	True
hf-hrv	Barlett	293.83	0.0	[219, 426, 169, 576]	True
hf-hrv	Levene	13.61	0.0	[219, 426, 169, 576]	True
ibi	Barlett	4.63	0.201	[219, 426, 169, 576]	False
ibi	Levene	1.8	0.145	[219, 426, 169, 576]	False
posterior_alpha	Barlett	69.85	0.0	[219, 426, 169, 576]	True
posterior_alpha	Levene	4.96	0.002	[219, 426, 169, 576]	True
valence	Barlett	75.73	0.0	[219, 426, 169, 576]	True
valence	Levene	44.28	0.0	[219, 426, 169, 576]	True
