Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	5.54	0.136	[219, 426, 169, 576]	False
arousal	Levene	11.04	0.0	[219, 426, 169, 576]	True
beta	Barlett	85.73	0.0	[219, 426, 169, 576]	True
beta	Levene	9.03	0.0	[219, 426, 169, 576]	True
frontal_alpha	Barlett	13.98	0.003	[219, 426, 169, 576]	True
frontal_alpha	Levene	4.4	0.004	[219, 426, 169, 576]	True
frontal_theta	Barlett	11.31	0.01	[219, 426, 169, 576]	True
frontal_theta	Levene	0.73	0.531	[219, 426, 169, 576]	False
gamma	Barlett	91.84	0.0	[219, 426, 169, 576]	True
gamma	Levene	9.23	0.0	[219, 426, 169, 576]	True
hf-hrv	Barlett	114.28	0.0	[219, 426, 169, 576]	True
hf-hrv	Levene	26.15	0.0	[219, 426, 169, 576]	True
ibi	Barlett	6.31	0.097	[219, 426, 169, 576]	False
ibi	Levene	2.7	0.045	[219, 426, 169, 576]	True
posterior_alpha	Barlett	100.17	0.0	[219, 426, 169, 576]	True
posterior_alpha	Levene	0.87	0.455	[219, 426, 169, 576]	False
valence	Barlett	59.71	0.0	[219, 426, 169, 576]	True
valence	Levene	92.09	0.0	[219, 426, 169, 576]	True
