Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	1420.85	0.0	[219, 426, 169, 576]	True
arousal	Levene	36.86	0.0	[219, 426, 169, 576]	True
beta	Barlett	429.6	0.0	[219, 426, 169, 576]	True
beta	Levene	2.92	0.033	[219, 426, 169, 576]	True
frontal_alpha	Barlett	47.21	0.0	[219, 426, 169, 576]	True
frontal_alpha	Levene	4.83	0.002	[219, 426, 169, 576]	True
frontal_theta	Barlett	300.65	0.0	[219, 426, 169, 576]	True
frontal_theta	Levene	4.12	0.006	[219, 426, 169, 576]	True
gamma	Barlett	666.21	0.0	[219, 426, 169, 576]	True
gamma	Levene	4.33	0.005	[219, 426, 169, 576]	True
hf-hrv	Barlett	0.15	0.985	[219, 426, 169, 576]	False
hf-hrv	Levene	0.05	0.986	[219, 426, 169, 576]	False
ibi	Barlett	6.27	0.099	[219, 426, 169, 576]	False
ibi	Levene	2.34	0.072	[219, 426, 169, 576]	False
posterior_alpha	Barlett	8.83	0.032	[219, 426, 169, 576]	True
posterior_alpha	Levene	2.3	0.076	[219, 426, 169, 576]	False
valence	Barlett	137.24	0.0	[219, 426, 169, 576]	True
valence	Levene	41.49	0.0	[219, 426, 169, 576]	True
