Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	83.84	0.0	[219, 426, 169, 576]	True
arousal	Levene	26.0	0.0	[219, 426, 169, 576]	True
beta	Barlett	469.87	0.0	[219, 426, 169, 576]	True
beta	Levene	23.33	0.0	[219, 426, 169, 576]	True
frontal_alpha	Barlett	637.54	0.0	[219, 426, 169, 576]	True
frontal_alpha	Levene	8.43	0.0	[219, 426, 169, 576]	True
frontal_theta	Barlett	91.72	0.0	[219, 426, 169, 576]	True
frontal_theta	Levene	2.63	0.049	[219, 426, 169, 576]	True
gamma	Barlett	601.55	0.0	[219, 426, 169, 576]	True
gamma	Levene	40.88	0.0	[219, 426, 169, 576]	True
hf-hrv	Barlett	136.22	0.0	[219, 426, 169, 576]	True
hf-hrv	Levene	46.29	0.0	[219, 426, 169, 576]	True
ibi	Barlett	25.34	0.0	[219, 426, 169, 576]	True
ibi	Levene	9.0	0.0	[219, 426, 169, 576]	True
posterior_alpha	Barlett	623.28	0.0	[219, 426, 169, 576]	True
posterior_alpha	Levene	7.54	0.0	[219, 426, 169, 576]	True
valence	Barlett	4.65	0.2	[219, 426, 169, 576]	False
valence	Levene	1.99	0.113	[219, 426, 169, 576]	False
