Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	7.17	0.067	[219, 426, 169, 576]	False
arousal	Levene	7.46	0.0	[219, 426, 169, 576]	True
beta	Barlett	562.56	0.0	[219, 426, 169, 576]	True
beta	Levene	9.16	0.0	[219, 426, 169, 576]	True
frontal_alpha	Barlett	50.89	0.0	[219, 426, 169, 576]	True
frontal_alpha	Levene	2.65	0.047	[219, 426, 169, 576]	True
frontal_theta	Barlett	324.25	0.0	[219, 426, 169, 576]	True
frontal_theta	Levene	0.67	0.572	[219, 426, 169, 576]	False
gamma	Barlett	348.38	0.0	[219, 426, 169, 576]	True
gamma	Levene	20.39	0.0	[219, 426, 169, 576]	True
hf-hrv	Barlett	559.59	0.0	[219, 426, 169, 576]	True
hf-hrv	Levene	54.34	0.0	[219, 426, 169, 576]	True
ibi	Barlett	54.83	0.0	[219, 426, 169, 576]	True
ibi	Levene	12.49	0.0	[219, 426, 169, 576]	True
posterior_alpha	Barlett	285.4	0.0	[219, 426, 169, 576]	True
posterior_alpha	Levene	3.76	0.01	[219, 426, 169, 576]	True
valence	Barlett	42.77	0.0	[219, 426, 169, 576]	True
valence	Levene	10.74	0.0	[219, 426, 169, 576]	True
