Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	15.74	0.001	[219, 426, 169, 576]	True
arousal	Levene	23.07	0.0	[219, 426, 169, 576]	True
beta	Barlett	1308.55	0.0	[219, 426, 169, 576]	True
beta	Levene	5.49	0.001	[219, 426, 169, 576]	True
frontal_alpha	Barlett	91.11	0.0	[219, 426, 169, 576]	True
frontal_alpha	Levene	6.97	0.0	[219, 426, 169, 576]	True
frontal_theta	Barlett	49.82	0.0	[219, 426, 169, 576]	True
frontal_theta	Levene	3.02	0.029	[219, 426, 169, 576]	True
gamma	Barlett	976.43	0.0	[219, 426, 169, 576]	True
gamma	Levene	5.44	0.001	[219, 426, 169, 576]	True
hf-hrv	Barlett	642.81	0.0	[219, 426, 169, 576]	True
hf-hrv	Levene	30.34	0.0	[219, 426, 169, 576]	True
ibi	Barlett	30.07	0.0	[219, 426, 169, 576]	True
ibi	Levene	2.22	0.084	[219, 426, 169, 576]	False
posterior_alpha	Barlett	98.86	0.0	[219, 426, 169, 576]	True
posterior_alpha	Levene	8.01	0.0	[219, 426, 169, 576]	True
valence	Barlett	14.05	0.003	[219, 426, 169, 576]	True
valence	Levene	13.04	0.0	[219, 426, 169, 576]	True
