Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	98.15	0.0	[219, 426, 169, 576]	True
arousal	Levene	48.03	0.0	[219, 426, 169, 576]	True
beta	Barlett	21.38	0.0	[219, 426, 169, 576]	True
beta	Levene	0.55	0.645	[219, 426, 169, 576]	False
frontal_alpha	Barlett	25.93	0.0	[219, 426, 169, 576]	True
frontal_alpha	Levene	8.03	0.0	[219, 426, 169, 576]	True
frontal_theta	Barlett	3.37	0.337	[219, 426, 169, 576]	False
frontal_theta	Levene	1.71	0.163	[219, 426, 169, 576]	False
gamma	Barlett	28.69	0.0	[219, 426, 169, 576]	True
gamma	Levene	0.54	0.656	[219, 426, 169, 576]	False
hf-hrv	Barlett	92.85	0.0	[219, 426, 169, 576]	True
hf-hrv	Levene	3.95	0.008	[219, 426, 169, 576]	True
ibi	Barlett	7.59	0.055	[219, 426, 169, 576]	False
ibi	Levene	2.47	0.06	[219, 426, 169, 576]	False
posterior_alpha	Barlett	74.19	0.0	[219, 426, 169, 576]	True
posterior_alpha	Levene	19.27	0.0	[219, 426, 169, 576]	True
valence	Barlett	32.16	0.0	[219, 426, 169, 576]	True
valence	Levene	38.55	0.0	[219, 426, 169, 576]	True
