Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	330.15	0.0	[219, 426, 169, 576]	True
arousal	Levene	119.34	0.0	[219, 426, 169, 576]	True
beta	Barlett	40.34	0.0	[219, 426, 169, 576]	True
beta	Levene	9.04	0.0	[219, 426, 169, 576]	True
frontal_alpha	Barlett	82.34	0.0	[219, 426, 169, 576]	True
frontal_alpha	Levene	8.67	0.0	[219, 426, 169, 576]	True
frontal_theta	Barlett	13.86	0.003	[219, 426, 169, 576]	True
frontal_theta	Levene	3.15	0.024	[219, 426, 169, 576]	True
gamma	Barlett	164.66	0.0	[219, 426, 169, 576]	True
gamma	Levene	21.22	0.0	[219, 426, 169, 576]	True
hf-hrv	Barlett	29.87	0.0	[219, 426, 169, 576]	True
hf-hrv	Levene	5.32	0.001	[219, 426, 169, 576]	True
ibi	Barlett	17.49	0.001	[219, 426, 169, 576]	True
ibi	Levene	2.74	0.042	[219, 426, 169, 576]	True
posterior_alpha	Barlett	225.81	0.0	[219, 426, 169, 576]	True
posterior_alpha	Levene	8.95	0.0	[219, 426, 169, 576]	True
valence	Barlett	42.8	0.0	[219, 426, 169, 576]	True
valence	Levene	48.85	0.0	[219, 426, 169, 576]	True
