Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	161.0	0.0	[219, 426, 169, 576]	True
arousal	Levene	70.26	0.0	[219, 426, 169, 576]	True
beta	Barlett	141.29	0.0	[219, 426, 169, 576]	True
beta	Levene	4.6	0.003	[219, 426, 169, 576]	True
frontal_alpha	Barlett	66.51	0.0	[219, 426, 169, 576]	True
frontal_alpha	Levene	4.48	0.004	[219, 426, 169, 576]	True
frontal_theta	Barlett	1852.57	0.0	[219, 426, 169, 576]	True
frontal_theta	Levene	5.22	0.001	[219, 426, 169, 576]	True
gamma	Barlett	95.45	0.0	[219, 426, 169, 576]	True
gamma	Levene	3.49	0.015	[219, 426, 169, 576]	True
hf-hrv	Barlett	62.46	0.0	[219, 426, 169, 576]	True
hf-hrv	Levene	18.53	0.0	[219, 426, 169, 576]	True
ibi	Barlett	41.04	0.0	[219, 426, 169, 576]	True
ibi	Levene	11.9	0.0	[219, 426, 169, 576]	True
posterior_alpha	Barlett	43.15	0.0	[219, 426, 169, 576]	True
posterior_alpha	Levene	4.24	0.005	[219, 426, 169, 576]	True
valence	Barlett	92.37	0.0	[219, 426, 169, 576]	True
valence	Levene	27.61	0.0	[219, 426, 169, 576]	True
