Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	138.74	0.0	[219, 426, 169, 576]	True
arousal	Levene	67.11	0.0	[219, 426, 169, 576]	True
beta	Barlett	783.14	0.0	[219, 426, 169, 576]	True
beta	Levene	7.26	0.0	[219, 426, 169, 576]	True
frontal_alpha	Barlett	144.13	0.0	[219, 426, 169, 576]	True
frontal_alpha	Levene	3.44	0.016	[219, 426, 169, 576]	True
frontal_theta	Barlett	34.49	0.0	[219, 426, 169, 576]	True
frontal_theta	Levene	1.33	0.263	[219, 426, 169, 576]	False
gamma	Barlett	1630.3	0.0	[219, 426, 169, 576]	True
gamma	Levene	5.95	0.0	[219, 426, 169, 576]	True
hf-hrv	Barlett	26.29	0.0	[219, 426, 169, 576]	True
hf-hrv	Levene	6.73	0.0	[219, 426, 169, 576]	True
ibi	Barlett	56.2	0.0	[219, 426, 169, 576]	True
ibi	Levene	5.07	0.002	[219, 426, 169, 576]	True
posterior_alpha	Barlett	138.1	0.0	[219, 426, 169, 576]	True
posterior_alpha	Levene	0.19	0.9	[219, 426, 169, 576]	False
valence	Barlett	58.42	0.0	[219, 426, 169, 576]	True
valence	Levene	8.3	0.0	[219, 426, 169, 576]	True
