Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	629.07	0.0	[219, 426, 169, 576]	True
arousal	Levene	83.28	0.0	[219, 426, 169, 576]	True
beta	Barlett	42.18	0.0	[219, 426, 169, 576]	True
beta	Levene	15.84	0.0	[219, 426, 169, 576]	True
frontal_alpha	Barlett	279.03	0.0	[219, 426, 169, 576]	True
frontal_alpha	Levene	17.39	0.0	[219, 426, 169, 576]	True
frontal_theta	Barlett	14.5	0.002	[219, 426, 169, 576]	True
frontal_theta	Levene	1.18	0.315	[219, 426, 169, 576]	False
gamma	Barlett	64.16	0.0	[219, 426, 169, 576]	True
gamma	Levene	12.1	0.0	[219, 426, 169, 576]	True
hf-hrv	Barlett	54.76	0.0	[219, 426, 169, 576]	True
hf-hrv	Levene	3.5	0.015	[219, 426, 169, 576]	True
ibi	Barlett	42.09	0.0	[219, 426, 169, 576]	True
ibi	Levene	10.25	0.0	[219, 426, 169, 576]	True
posterior_alpha	Barlett	471.36	0.0	[219, 426, 169, 576]	True
posterior_alpha	Levene	29.75	0.0	[219, 426, 169, 576]	True
valence	Barlett	4.09	0.252	[219, 426, 169, 576]	False
valence	Levene	14.95	0.0	[219, 426, 169, 576]	True
