Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	24.02	0.0	[219, 426, 169, 576]	True
arousal	Levene	14.56	0.0	[219, 426, 169, 576]	True
beta	Barlett	13.15	0.004	[219, 426, 169, 576]	True
beta	Levene	6.69	0.0	[219, 426, 169, 576]	True
frontal_alpha	Barlett	1396.56	0.0	[219, 426, 169, 576]	True
frontal_alpha	Levene	1.06	0.367	[219, 426, 169, 576]	False
frontal_theta	Barlett	3124.2	0.0	[219, 426, 169, 576]	True
frontal_theta	Levene	1.57	0.195	[219, 426, 169, 576]	False
gamma	Barlett	38.21	0.0	[219, 426, 169, 576]	True
gamma	Levene	1.23	0.296	[219, 426, 169, 576]	False
hf-hrv	Barlett	123.62	0.0	[219, 426, 169, 576]	True
hf-hrv	Levene	43.05	0.0	[219, 426, 169, 576]	True
ibi	Barlett	32.81	0.0	[219, 426, 169, 576]	True
ibi	Levene	10.04	0.0	[219, 426, 169, 576]	True
posterior_alpha	Barlett	46.28	0.0	[219, 426, 169, 576]	True
posterior_alpha	Levene	1.08	0.356	[219, 426, 169, 576]	False
valence	Barlett	57.58	0.0	[219, 426, 169, 576]	True
valence	Levene	93.79	0.0	[219, 426, 169, 576]	True
