Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	26.7	0.0	[219, 426, 169, 576]	True
arousal	Levene	6.61	0.0	[219, 426, 169, 576]	True
beta	Barlett	85.0	0.0	[219, 426, 169, 576]	True
beta	Levene	0.53	0.66	[219, 426, 169, 576]	False
frontal_alpha	Barlett	49.59	0.0	[219, 426, 169, 576]	True
frontal_alpha	Levene	4.37	0.005	[219, 426, 169, 576]	True
frontal_theta	Barlett	6.29	0.098	[219, 426, 169, 576]	False
frontal_theta	Levene	1.32	0.268	[219, 426, 169, 576]	False
gamma	Barlett	182.37	0.0	[219, 426, 169, 576]	True
gamma	Levene	1.91	0.125	[219, 426, 169, 576]	False
hf-hrv	Barlett	165.93	0.0	[219, 426, 169, 576]	True
hf-hrv	Levene	36.22	0.0	[219, 426, 169, 576]	True
ibi	Barlett	293.42	0.0	[219, 426, 169, 576]	True
ibi	Levene	103.7	0.0	[219, 426, 169, 576]	True
posterior_alpha	Barlett	141.91	0.0	[219, 426, 169, 576]	True
posterior_alpha	Levene	2.71	0.044	[219, 426, 169, 576]	True
valence	Barlett	106.85	0.0	[219, 426, 169, 576]	True
valence	Levene	17.39	0.0	[219, 426, 169, 576]	True
